City_x,County,Zipcode,Total Households 2012,Total Households 2012 Margin of Error,Total Households Income 2012,Total Households Income 2012 Margin of Error,Total Households 2013,Total Households 2013 Margin of Error,Total Households Income 2013,Total Households Income 2013 Margin of Error,Total Households 2014,Total Households 2014 Margin of Error,Total Households Income 2014,Total Households Income 2014 Margin of Error,Total Households 2015,Total Households 2015 Margin of Error,Total Households Income 2015,Total Households Income 2015 Margin of Error,Total Households 2016,Total Households 2016 Margin of Error,Total Households Income 2016,Total Households Income 2016 Margin of Error,License,Street,City_y
Monument,El Paso,80132,6668.0,259.0,103598,7250,6712.0,281.0,107475,6930,6678.0,307.0,108226,6454,6845.0,316.0,110339,9062,6954.0,310.0,118082,7856,,,
Palmer Lake,El Paso,80133,895.0,131.0,54326,7011,901.0,129.0,61165,9059,906.0,110.0,60167,12473,897.0,104.0,58922,14401,976.0,128.0,51625,15238,,,
Parker,Douglas,80134,19884.0,469.0,98782,3844,20047.0,396.0,100739,2898,20427.0,356.0,101415,2753,21053.0,418.0,102806,2984,21879.0,366.0,104079,3821,,,
Sedalia,Douglas,80135,1311.0,154.0,99549,11851,1374.0,177.0,110694,17042,1411.0,142.0,103266,13294,1543.0,125.0,103381,7666,1595.0,130.0,101875,9553,,,
Strasburg,Adams,80136,1750.0,173.0,75430,5146,1885.0,147.0,74816,5805,1750.0,129.0,76620,4164,1731.0,123.0,77776,5721,1725.0,125.0,77737,5816,,,
Watkins,Adams,80137,362.0,80.0,82935,23223,384.0,86.0,83939,25960,389.0,84.0,85927,17695,374.0,77.0,86696,19458,397.0,66.0,98050,18243,,,
Parker,Douglas,80138,10365.0,285.0,102328,4722,10598.0,282.0,99316,5193,10710.0,306.0,100484,6195,10981.0,272.0,102002,8210,11336.0,256.0,103645,6503,,,
Englewood,Arapahoe,80150,,,,,,,,,,,,,,,,,,,,,,,
Englewood,Arapahoe,80151,,,,,,,,,,,,,,,,,,,,,,,
Englewood,Arapahoe,80155,,,,,,,,,,,,,,,,,,,,,,,
Littleton,Arapahoe,80160,,,,,,,,,,,,,,,,,,,,,,,
Littleton,Arapahoe,80161,,,,,,,,,,,,,,,,,,,,,,,
Littleton,Jefferson,80162,,,,,,,,,,,,,,,,,,,,,,,
Littleton,Douglas,80163,,,,,,,,,,,,,,,,,,,,,,,
Littleton,Arapahoe,80165,,,,,,,,,,,,,,,,,,,,,,,
Littleton,Arapahoe,80166,,,,,,,,,,,,,,,,,,,,,,,
Denver,Denver,80201,,,,,,,,,,,,,,,,,,,,,,,
Denver,Denver,80202,6623.0,351.0,67741,7998,6870.0,418.0,68707,9742,7185.0,382.0,74975,12638,7812.0,448.0,71879,11403,8089.0,449.0,70806,8835,402R-00081,"1617 Wazee Street, Unit B",Denver
Denver,Denver,80202,6623.0,351.0,67741,7998,6870.0,418.0,68707,9742,7185.0,382.0,74975,12638,7812.0,448.0,71879,11403,8089.0,449.0,70806,8835,402R-00027,"910 16th Street, Suite 805",Denver
Denver,Denver,80202,6623.0,351.0,67741,7998,6870.0,418.0,68707,9742,7185.0,382.0,74975,12638,7812.0,448.0,71879,11403,8089.0,449.0,70806,8835,402R-00068,1201 20th Street,Denver
Denver,Denver,80202,6623.0,351.0,67741,7998,6870.0,418.0,68707,9742,7185.0,382.0,74975,12638,7812.0,448.0,71879,11403,8089.0,449.0,70806,8835,402R-00070,1538 Wazee Street Suit 100,Denver
Denver,Denver,80202,6623.0,351.0,67741,7998,6870.0,418.0,68707,9742,7185.0,382.0,74975,12638,7812.0,448.0,71879,11403,8089.0,449.0,70806,8835,402R-00056,"403 16th Street, Suite 1",Denver
Denver,Denver,80202,6623.0,351.0,67741,7998,6870.0,418.0,68707,9742,7185.0,382.0,74975,12638,7812.0,448.0,71879,11403,8089.0,449.0,70806,8835,402R-00054,"1620 Market Street, Suite 5W",Denver
Denver,Denver,80202,6623.0,351.0,67741,7998,6870.0,418.0,68707,9742,7185.0,382.0,74975,12638,7812.0,448.0,71879,11403,8089.0,449.0,70806,8835,402R-00700,1995 Wewatta Street,Denver
Denver,Denver,80203,13160.0,558.0,40390,2903,13354.0,440.0,41999,2942,13734.0,406.0,44393,3448,13860.0,479.0,45965,4014,14157.0,418.0,47290,4095,402R-00237,"70 Broadway, Suite 50",Denver
Denver,Denver,80203,13160.0,558.0,40390,2903,13354.0,440.0,41999,2942,13734.0,406.0,44393,3448,13860.0,479.0,45965,4014,14157.0,418.0,47290,4095,402R-00142,"1 Broadway, Unit A-150",Denver
Denver,Denver,80203,13160.0,558.0,40390,2903,13354.0,440.0,41999,2942,13734.0,406.0,44393,3448,13860.0,479.0,45965,4014,14157.0,418.0,47290,4095,402R-00083,970 Lincoln Street,Denver
Denver,Denver,80203,13160.0,558.0,40390,2903,13354.0,440.0,41999,2942,13734.0,406.0,44393,3448,13860.0,479.0,45965,4014,14157.0,418.0,47290,4095,402R-00111,"3980 Franklin Street, Unit 101",Denver
Denver,Denver,80203,13160.0,558.0,40390,2903,13354.0,440.0,41999,2942,13734.0,406.0,44393,3448,13860.0,479.0,45965,4014,14157.0,418.0,47290,4095,402R-00112,1660 North Pearl Street,Denver
Denver,Denver,80203,13160.0,558.0,40390,2903,13354.0,440.0,41999,2942,13734.0,406.0,44393,3448,13860.0,479.0,45965,4014,14157.0,418.0,47290,4095,402R-00408,105 East 7th Avenue,Denver
Denver,Denver,80203,13160.0,558.0,40390,2903,13354.0,440.0,41999,2942,13734.0,406.0,44393,3448,13860.0,479.0,45965,4014,14157.0,418.0,47290,4095,402R-00479,745 East 6th Avenue,Denver
Denver,Denver,80203,13160.0,558.0,40390,2903,13354.0,440.0,41999,2942,13734.0,406.0,44393,3448,13860.0,479.0,45965,4014,14157.0,418.0,47290,4095,402R-00076,20 East 9th Avenue,Denver
Denver,Denver,80203,13160.0,558.0,40390,2903,13354.0,440.0,41999,2942,13734.0,406.0,44393,3448,13860.0,479.0,45965,4014,14157.0,418.0,47290,4095,402R-00769,1250 Grant Street,Denver
Denver,Denver,80203,13160.0,558.0,40390,2903,13354.0,440.0,41999,2942,13734.0,406.0,44393,3448,13860.0,479.0,45965,4014,14157.0,418.0,47290,4095,402R-00340,260 Broadway,Denver
Denver,Denver,80203,13160.0,558.0,40390,2903,13354.0,440.0,41999,2942,13734.0,406.0,44393,3448,13860.0,479.0,45965,4014,14157.0,418.0,47290,4095,402R-00449,852 North Broadway,Denver
Denver,Denver,80203,13160.0,558.0,40390,2903,13354.0,440.0,41999,2942,13734.0,406.0,44393,3448,13860.0,479.0,45965,4014,14157.0,418.0,47290,4095,402R-00031,330 East Colfax Avenue,Denver
Denver,Denver,80204,12065.0,355.0,34983,3072,12198.0,307.0,31611,2070,12314.0,349.0,32098,2542,12193.0,320.0,32127,2945,12210.0,336.0,35129,3639,402R-00055,2059 West 9th Avenue,Denver
Denver,Denver,80204,12065.0,355.0,34983,3072,12198.0,307.0,31611,2070,12314.0,349.0,32098,2542,12193.0,320.0,32127,2945,12210.0,336.0,35129,3639,402R-00187,445 Federal Boulevard,Denver
Denver,Denver,80204,12065.0,355.0,34983,3072,12198.0,307.0,31611,2070,12314.0,349.0,32098,2542,12193.0,320.0,32127,2945,12210.0,336.0,35129,3639,402R-00105,1269 Elati Street,Denver
Denver,Denver,80204,12065.0,355.0,34983,3072,12198.0,307.0,31611,2070,12314.0,349.0,32098,2542,12193.0,320.0,32127,2945,12210.0,336.0,35129,3639,402R-00361,4801 West Colfax Avenue,Denver
Denver,Denver,80204,12065.0,355.0,34983,3072,12198.0,307.0,31611,2070,12314.0,349.0,32098,2542,12193.0,320.0,32127,2945,12210.0,336.0,35129,3639,402R-00396,1133 Bannock Street,Denver
Denver,Denver,80204,12065.0,355.0,34983,3072,12198.0,307.0,31611,2070,12314.0,349.0,32098,2542,12193.0,320.0,32127,2945,12210.0,336.0,35129,3639,402R-00126,990 West 6th Avenue Suite #5,Denver
Denver,Denver,80204,12065.0,355.0,34983,3072,12198.0,307.0,31611,2070,12314.0,349.0,32098,2542,12193.0,320.0,32127,2945,12210.0,336.0,35129,3639,402R-00152,"1355 Santa Fe Drive, Suite F",Denver
Denver,Denver,80204,12065.0,355.0,34983,3072,12198.0,307.0,31611,2070,12314.0,349.0,32098,2542,12193.0,320.0,32127,2945,12210.0,336.0,35129,3639,402R-00005,"777 Canosa Court, Unit 102",Denver
