City_x,County,Zipcode,Total Population 2016,Total Population 2016 Margin of Error,Total Unemployment 2016,Total Unemployment 2016 margin of Error,Age Group 16-19 2016,Age Group 16-19 2016 Margin of Error,Age Group 16-19 2016 Unemployment,Age Group 16-19 2016 Unemployment Margin of Error,Age Group 20-24 2016,Age Group 20-24 2016 Margin of Error,Age Group 20-24 2016 Unemployment,Age Group 20-24 2016 Unemployment Margin of Error,Age Group 25-29 2016,Age Group 25-29 2016 Margin of Error,Age Group 25-29 2016 Unemployment,Age Group 25-29 2016 Unemployment Margin of Error,Age Group 30-34 2016,Age Group 30-34 2016 Margin of Error,Age Group 30-34 2016 Unemployment,Age Group 30-34 2016 Unemployment Margin of Error,Age Group 35-44 2016,Age Group 35-44 2016 Margin of Error,Age Group 35-44 2016 Unemployment,Age Group 35-44 2016 Unemployment Margin of Error,Age Group 45-54 2016,Age Group 45-54 2016 Margin of Error,Age Group 45-54 2016 Unemployment,Age Group 45-54 2016 Unemployment Margin of Error,Age Group 55-64 2016,Age Group 55-64 2016 Margin of Error,Age Group 55-64 2016 Unemployment,Age Group 55-64 2016 Unemployment Margin of Error,Age Group 60-64 2016,Age Group 60-64 2016 Margin of Error,Age Group 60-64 2016 Unemployment,Age Group 60-64 2016 Unemployment Margin of Error,Age Group 65-74 2016,Age Group 65-74 2016 Margin of Error,Age Group 65-74 2016 Unemployment,Age Group 65-74 2016 Unemployment Margin of Error,Age Group 75+ 2016,Age Group 75+ 2016 Margin of Error,Age Group 75+ 2016 Unemployment,Age Group 75+ 2016 Unemployment Margin of Error,License,Street,City_y
Wheat Ridge,Jefferson,80033,20794.0,598.0,5.3,1.2,946.0,225.0,6.0,6,1436.0,261.0,14.2,6.8,1824.0,331.0,3.3,2.8,1858.0,281.0,3.6,2.8,3269.0,366.0,4.1,1.9,2912.0,300.0,6.4,2.9,1884.0,289.0,5.3,3.4,1908.0,261.0,4.3,3.5,2266.0,262.0,1.3,2.2,2491.0,267.0,0.0,17.5,402R-00153,4845 Van Gordon Street,Wheat Ridge
Englewood,Arapahoe,80110,17870.0,624.0,6.7,1.6,774.0,227.0,4.3,5.7,1995.0,299.0,14.6,6,1949.0,302.0,5.1,3.7,2014.0,300.0,4.3,3.2,3184.0,314.0,7.2,3.8,2619.0,307.0,7.4,3.6,1612.0,246.0,4.4,3.5,1310.0,228.0,1.1,1.7,1247.0,188.0,2.2,3.4,1166.0,175.0,0.0,43.5,402R-00757,2800 West Hampden Avenue,Sheridan
Englewood,Arapahoe,80110,17870.0,624.0,6.7,1.6,774.0,227.0,4.3,5.7,1995.0,299.0,14.6,6,1949.0,302.0,5.1,3.7,2014.0,300.0,4.3,3.2,3184.0,314.0,7.2,3.8,2619.0,307.0,7.4,3.6,1612.0,246.0,4.4,3.5,1310.0,228.0,1.1,1.7,1247.0,188.0,2.2,3.4,1166.0,175.0,0.0,43.5,402R-00737,3926 South Federal Boulevard,Sheridan
Englewood,Arapahoe,80110,17870.0,624.0,6.7,1.6,774.0,227.0,4.3,5.7,1995.0,299.0,14.6,6,1949.0,302.0,5.1,3.7,2014.0,300.0,4.3,3.2,3184.0,314.0,7.2,3.8,2619.0,307.0,7.4,3.6,1612.0,246.0,4.4,3.5,1310.0,228.0,1.1,1.7,1247.0,188.0,2.2,3.4,1166.0,175.0,0.0,43.5,402R-00652,5005 South Federal Boulevard,Englewood
Englewood,Arapahoe,80110,17870.0,624.0,6.7,1.6,774.0,227.0,4.3,5.7,1995.0,299.0,14.6,6,1949.0,302.0,5.1,3.7,2014.0,300.0,4.3,3.2,3184.0,314.0,7.2,3.8,2619.0,307.0,7.4,3.6,1612.0,246.0,4.4,3.5,1310.0,228.0,1.1,1.7,1247.0,188.0,2.2,3.4,1166.0,175.0,0.0,43.5,402R-00743,3318 South Federal Boulevard,Sheridan
Englewood,Arapahoe,80110,17870.0,624.0,6.7,1.6,774.0,227.0,4.3,5.7,1995.0,299.0,14.6,6,1949.0,302.0,5.1,3.7,2014.0,300.0,4.3,3.2,3184.0,314.0,7.2,3.8,2619.0,307.0,7.4,3.6,1612.0,246.0,4.4,3.5,1310.0,228.0,1.1,1.7,1247.0,188.0,2.2,3.4,1166.0,175.0,0.0,43.5,402R-00715,4444 South Federal Boulevard,Sheridan
Englewood,Arapahoe,80113,18270.0,566.0,8.1,1.9,837.0,210.0,11.3,10.9,1546.0,285.0,15.9,8.4,1778.0,274.0,6.6,3.9,1768.0,273.0,8.1,4.8,2553.0,299.0,5.6,3.4,3400.0,361.0,9.0,4.1,1718.0,237.0,9.0,8.1,1495.0,200.0,5.0,4.1,1577.0,198.0,4.5,5.8,1598.0,192.0,7.0,11.2,402R-00659,4332 South Broadway,Englewood
Littleton,Jefferson,80123,37868.0,873.0,4.1,0.9,1965.0,243.0,21.8,9.5,2200.0,334.0,9.2,3.8,3099.0,481.0,5.9,3.7,3297.0,364.0,1.5,1.2,6161.0,408.0,2.8,1.5,6979.0,505.0,2.7,1.2,3479.0,293.0,4.2,2.4,3295.0,331.0,2.1,1.7,4558.0,412.0,3.2,2.4,2835.0,252.0,4.4,6.8,402R-00380,7870 West Quincy Avenue,Denver
Littleton,Jefferson,80127,35250.0,764.0,5.0,0.9,2584.0,351.0,19.9,10.3,2194.0,369.0,6.9,3.6,1814.0,315.0,7.9,4.4,2268.0,303.0,3.4,2.5,6060.0,348.0,2.2,1.2,7878.0,455.0,4.0,1.8,4333.0,429.0,5.6,3,3202.0,294.0,5.7,2.8,3483.0,263.0,2.3,2,1434.0,211.0,0.0,23.4,402R-00590,4550 South Kipling Street #4,Denver
Denver,Denver,80202,12298.0,843.0,4.0,1.7,418.0,188.0,29.9,24.9,1398.0,334.0,2.1,3.4,2679.0,613.0,3.1,3.8,2382.0,439.0,6.0,5.1,1569.0,294.0,0.6,1.1,1449.0,311.0,5.3,7.1,834.0,233.0,0.0,6.7,728.0,212.0,4.5,7.3,593.0,136.0,0.0,18.7,248.0,107.0,0.0,82.3,402R-00081,"1617 Wazee Street, Unit B",Denver
Denver,Denver,80202,12298.0,843.0,4.0,1.7,418.0,188.0,29.9,24.9,1398.0,334.0,2.1,3.4,2679.0,613.0,3.1,3.8,2382.0,439.0,6.0,5.1,1569.0,294.0,0.6,1.1,1449.0,311.0,5.3,7.1,834.0,233.0,0.0,6.7,728.0,212.0,4.5,7.3,593.0,136.0,0.0,18.7,248.0,107.0,0.0,82.3,402R-00027,"910 16th Street, Suite 805",Denver
Denver,Denver,80202,12298.0,843.0,4.0,1.7,418.0,188.0,29.9,24.9,1398.0,334.0,2.1,3.4,2679.0,613.0,3.1,3.8,2382.0,439.0,6.0,5.1,1569.0,294.0,0.6,1.1,1449.0,311.0,5.3,7.1,834.0,233.0,0.0,6.7,728.0,212.0,4.5,7.3,593.0,136.0,0.0,18.7,248.0,107.0,0.0,82.3,402R-00068,1201 20th Street,Denver
Denver,Denver,80202,12298.0,843.0,4.0,1.7,418.0,188.0,29.9,24.9,1398.0,334.0,2.1,3.4,2679.0,613.0,3.1,3.8,2382.0,439.0,6.0,5.1,1569.0,294.0,0.6,1.1,1449.0,311.0,5.3,7.1,834.0,233.0,0.0,6.7,728.0,212.0,4.5,7.3,593.0,136.0,0.0,18.7,248.0,107.0,0.0,82.3,402R-00070,1538 Wazee Street Suit 100,Denver
Denver,Denver,80202,12298.0,843.0,4.0,1.7,418.0,188.0,29.9,24.9,1398.0,334.0,2.1,3.4,2679.0,613.0,3.1,3.8,2382.0,439.0,6.0,5.1,1569.0,294.0,0.6,1.1,1449.0,311.0,5.3,7.1,834.0,233.0,0.0,6.7,728.0,212.0,4.5,7.3,593.0,136.0,0.0,18.7,248.0,107.0,0.0,82.3,402R-00056,"403 16th Street, Suite 1",Denver
Denver,Denver,80202,12298.0,843.0,4.0,1.7,418.0,188.0,29.9,24.9,1398.0,334.0,2.1,3.4,2679.0,613.0,3.1,3.8,2382.0,439.0,6.0,5.1,1569.0,294.0,0.6,1.1,1449.0,311.0,5.3,7.1,834.0,233.0,0.0,6.7,728.0,212.0,4.5,7.3,593.0,136.0,0.0,18.7,248.0,107.0,0.0,82.3,402R-00054,"1620 Market Street, Suite 5W",Denver
