City,County,Zipcode,Total Population 2013,Total Population 2013 Margin of Error,Total Unemployment 2013,Total Unemployment 2013 margin of Error,Age Group 16-19 2013,Age Group 16-19 2013 Margin of Error,Age Group 16-19 2013 Unemployment,Age Group 16-19 2013 Unemployment Margin of Error,Age Group 20-24 2013,Age Group 20-24 2013 Margin of Error,Age Group 20-24 2013 Unemployment,Age Group 20-24 2013 Unemployment Margin of Error,Age Group 25-44 2013,Age Group 25-44 2013 Margin of Error,Age Group 25-44 2013 Unemployment,Age Group 25-44 2013 Unemployment Margin of Error,Age Group 45-54 2013,Age Group 45-54 2013 Margin of Error,Age Group 45-54 2013 Unemployment,Age Group 45-54 2013 Unemployment Margin of Error,Age Group 55-64 2013,Age Group 55-64 2013 Margin of Error,Age Group 55-64 2013 Unemployment,Age Group 55-64 2013 Unemployment Margin of Error,Age Group 65-74 2013,Age Group 65-74 2013 Margin of Error,Age Group 65-74 2013 Unemployment,Age Group 65-74 2013 Unemployment Margin of Error,Age Group 75+ 2013,Age Group 75+ 2013 Margin of Error,Age Group 75+ 2013 Unemployment,Age Group 75+ 2013 Unemployment Margin of Error
Yoder,El Paso,80864,858,203,10.5,5.9,88,79,71.4,68.9,30,32,0,85.6,220,88,0,20.9,198,61,10.7,9.8,196,71,20.9,16.3,86,38,0,59.3,40,23,0,100
Woodland Park,Teller,80866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado Springs,El Paso,80901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado Springs,El Paso,80903,13466,634,10.5,1.8,1853,335,24.4,10.9,2062,349,13.1,5.5,4625,473,8,2.7,1795,242,9.1,4.7,1639,256,11.7,5.6,790,146,4.7,7.4,702,152,0,53.3
Colorado Springs,El Paso,80904,17619,770,9,2.1,702,247,18.7,12.9,1565,328,11.1,6.5,5429,407,8.4,2.6,3083,356,9,4.2,2760,328,7.2,4,2003,228,6.3,5.5,2077,258,18.6,26.6
Colorado Springs,El Paso,80905,14020,797,7.9,2.1,752,220,16,23.3,1388,403,6.8,6.3,4942,558,4.8,2.6,2806,342,8.3,3.9,2034,309,14.3,6.8,1053,206,13.9,11.7,1045,192,0,22.8
Colorado Springs,El Paso,80906,29887,1073,12,2.3,1800,326,31.7,14.2,3370,548,35.8,9.5,9097,552,8.7,2.9,5149,453,7.2,3.2,4829,426,8.8,3,3237,373,11.9,7,2405,313,0,15.2
Colorado Springs,El Paso,80907,22248,769,10.7,1.9,1111,285,54.2,18.7,2030,382,9,5.1,7229,469,8,2.4,3882,388,9,3,3830,347,12.8,4.4,2070,267,1.3,2.2,2096,200,6.8,9.4
Colorado Springs,El Paso,80908,10948,515,7,2.3,948,200,34.1,19,372,136,18.4,18.7,2495,326,6.6,3.6,3040,282,3.7,2.8,2407,307,0.9,1.5,1227,170,20.8,15.9,459,166,51.7,51.7
Colorado Springs,El Paso,80909,28073,1065,10.3,2.3,1554,375,26.2,11.1,2879,365,12.9,6.6,8816,571,10.7,3.5,4990,605,9.6,3.9,4372,424,5.2,3.3,2676,320,5.3,4.7,2786,285,0,20.5
