City_x,County,Zipcode,Total Population 2013,Total Population 2013 Margin of Error,Total Unemployment 2013,Total Unemployment 2013 margin of Error,Age Group 16-19 2013,Age Group 16-19 2013 Margin of Error,Age Group 16-19 2013 Unemployment,Age Group 16-19 2013 Unemployment Margin of Error,Age Group 20-24 2013,Age Group 20-24 2013 Margin of Error,Age Group 20-24 2013 Unemployment,Age Group 20-24 2013 Unemployment Margin of Error,Age Group 25-44 2013,Age Group 25-44 2013 Margin of Error,Age Group 25-44 2013 Unemployment,Age Group 25-44 2013 Unemployment Margin of Error,Age Group 45-54 2013,Age Group 45-54 2013 Margin of Error,Age Group 45-54 2013 Unemployment,Age Group 45-54 2013 Unemployment Margin of Error,Age Group 55-64 2013,Age Group 55-64 2013 Margin of Error,Age Group 55-64 2013 Unemployment,Age Group 55-64 2013 Unemployment Margin of Error,Age Group 65-74 2013,Age Group 65-74 2013 Margin of Error,Age Group 65-74 2013 Unemployment,Age Group 65-74 2013 Unemployment Margin of Error,Age Group 75+ 2013,Age Group 75+ 2013 Margin of Error,Age Group 75+ 2013 Unemployment,Age Group 75+ 2013 Unemployment Margin of Error,License,Street,City_y
Pueblo,Pueblo,81008,8495.0,544.0,9.4,3.2,381.0,130.0,25.4,20,675.0,222.0,13.9,11.9,3176.0,500.0,9.5,4.8,1441.0,228.0,6.4,4.2,1248.0,182.0,10.5,8.7,922.0,157.0,0,13.5,652.0,158.0,0,64.7,402R-00650,4740 Dillion Drive,Pueblo
Pueblo,Pueblo,81008,8495.0,544.0,9.4,3.2,381.0,130.0,25.4,20,675.0,222.0,13.9,11.9,3176.0,500.0,9.5,4.8,1441.0,228.0,6.4,4.2,1248.0,182.0,10.5,8.7,922.0,157.0,0,13.5,652.0,158.0,0,64.7,402R-00537,2285 North Interstate 25,Pueblo
Pueblo,Pueblo,81008,8495.0,544.0,9.4,3.2,381.0,130.0,25.4,20,675.0,222.0,13.9,11.9,3176.0,500.0,9.5,4.8,1441.0,228.0,6.4,4.2,1248.0,182.0,10.5,8.7,922.0,157.0,0,13.5,652.0,158.0,0,64.7,402R-00725,4803 North Interstate 25,Pueblo
Colorado City,Pueblo,81019,1212.0,299.0,8.9,8.2,78.0,95.0,0,53.3,0.0,12.0,-,**,352.0,188.0,12.8,13.4,83.0,57.0,0,43.7,271.0,140.0,8.8,15.4,370.0,174.0,0,85.6,58.0,56.0,0,85.6,402R-00754,4490 Bent Brothers Boulevard Unit B1-B2,Colorado City
Ordway,Crowley,81063,2035.0,253.0,23.6,12,138.0,95.0,38.6,40.2,183.0,120.0,20,32.1,670.0,138.0,33.1,18,351.0,93.0,8.8,7.7,298.0,66.0,25.5,26.1,208.0,62.0,0,85.6,187.0,46.0,0,98.9,402R-00770,114 East 2nd Street,Ordway
Rocky Ford,Otero,81067,4545.0,230.0,14.6,4.5,275.0,88.0,79.8,24.2,265.0,106.0,34.6,24,1276.0,180.0,14.7,6.8,662.0,128.0,0.6,1,916.0,148.0,8.9,7.3,645.0,98.0,13.5,13.7,506.0,129.0,0,39.6,402R-00765,1315 Elm Avenue,Rocky Ford
Rocky Ford,Otero,81067,4545.0,230.0,14.6,4.5,275.0,88.0,79.8,24.2,265.0,106.0,34.6,24,1276.0,180.0,14.7,6.8,662.0,128.0,0.6,1,916.0,148.0,8.9,7.3,645.0,98.0,13.5,13.7,506.0,129.0,0,39.6,402R-00755,1709 Swink Avenue,Rocky Ford
Trinidad,Las Animas,81082,9971.0,271.0,8.7,2.2,685.0,87.0,18.4,10.6,784.0,81.0,18.5,8,2607.0,159.0,8.1,3.9,1836.0,103.0,8.2,4.3,1877.0,106.0,4.6,2.8,1172.0,82.0,6.2,6.4,1010.0,57.0,0,36.7,402R-00606,116 Santa Fe Trail Drive,Trinidad
Trinidad,Las Animas,81082,9971.0,271.0,8.7,2.2,685.0,87.0,18.4,10.6,784.0,81.0,18.5,8,2607.0,159.0,8.1,3.9,1836.0,103.0,8.2,4.3,1877.0,106.0,4.6,2.8,1172.0,82.0,6.2,6.4,1010.0,57.0,0,36.7,402R-00371,3019 Toupal Drive,Trinidad
Trinidad,Las Animas,81082,9971.0,271.0,8.7,2.2,685.0,87.0,18.4,10.6,784.0,81.0,18.5,8,2607.0,159.0,8.1,3.9,1836.0,103.0,8.2,4.3,1877.0,106.0,4.6,2.8,1172.0,82.0,6.2,6.4,1010.0,57.0,0,36.7,402R-00383,453 North Commercial Street,Trinidad
